,User_id,text,sec_user,movies_name,relationship,attachment
114643, u3378 ," She is preparing a great abundance of food.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3371 ,m224,,
114644, u3371 ," You're describing half the high school girls in America.  What is she doing right now?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3378 ,m224,,
114645, u3378 ," She's in high school. She's sexually active. She's on drugs. She's crying out for some help.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3371 ,m224,,
114646, u3371 ," Tell me some other things about her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3378 ,m224,,
114647, u3378 ," Blonde.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3371 ,m224,,
114648, u3371 ," What color hair will she have?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3378 ,m224,,
114649, u3378 ," A woman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3371 ,m224,,
114650, u3371 ," Let's test it for the record. Will the next victim be a man or a woman?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3378 ,m224,,
114651, u3378 ," Yes. Either right now or right when I thought of it. The name and memory of Teresa Banks is haunting me. Lately I have been filled with a knowingness that the murderer will strike again. Because it is only a feeling, I am powerless to stop it. And another thing, Albert, when the next murder happens you will help me solve it."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3371 ,m224,,
114652, u3371 ," You said, """"Teresa Banks"""", so you think something is going on somewhere in the world right now that is connected with her murder?"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3378 ,m224,,
114653, u3378 ," Albert.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3371 ,m224,,
114654, u3371 ," Yes, it's a great big psychedelic circus ride, isn't it, Cooper?"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3378 ,m224,,
114655, u3378 ," The very fact that we are talking about word association means we are in a space that was opened up by our practice of word association. The world is a hologram, Albert."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3371 ,m224,,
114656, u3371 ," Cooper, the ooze of mumbo jumbo is rising up above our heads. Do you honestly think Cole's practice of word association works?"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3372 ,m224,,
114657, u3372 ," I want you to kill for me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114658, u3390 ," No. Never. You'll have to kill me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3372 ,m224,,
114659, u3372 ," I want you to kill for me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114660, u3390 ," No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3372 ,m224,,
114661, u3372 ," I am the One who wants to breathe thru your nose and taste thru your mouth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114662, u3390 ," Who are you? Who are you REALLY?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3372 ,m224,,
114663, u3372 ," That's not important. I will tell you what is important. The fan will soon be starting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114664, u3390 ," NO! GOD, NO..."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3372 ,m224,,
114665, u3372 ," SEE WHAT WE CAN DO TO DONNA?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3372 ,m224,,
114666, u3372 ," I want you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114667, u3390 ," Go away. I am not talking to you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3372 ,m224,,
114668, u3372 ," I'm glad you let me talk to you. You used to not let me talk to you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114669, u3390 ," No... No, go away."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114670, u3390 ," Thanks, Bobby.  And my little round friends, too."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114671, u3373 ," Bobby's got it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114672, u3390 ," Bobby...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114673, u3373 ," We can do it right here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114674, u3373 ," Why? Why not? Where are you goin'?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114675, u3390 ," Not tonight. Just give me something to take home to hold me over till tomorrow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114676, u3373 ," Let's ditch this place and party.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114677, u3390 ," Sure, but I can't get it till after school tomorrow."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114678, u3373 ," Yeah, and I'm gonna need that ten thousand dollars back."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114679, u3390 ," I'm not... Bobby I'm gonna need some more stuff. I mean it. I'm out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114680, u3373 ," Don't get funny with me again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114681, u3390 ," What is the world coming to when you kill a guy for baby laxative?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114682, u3373 ," No shit...  We killed a guy for baby laxative.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114683, u3390 ," Baby laxative? We can't snort baby laxative.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114684, u3373 ," The stuff we got last night.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114685, u3390 ," What was?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114686, u3373 ," Bad news, kid, it was baby laxative."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114687, u3390 ," You killed Mike.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114688, u3373 ," Babe, I'm on my way out to the woods to divvy up the product. Put this cash in your safety deposit box...  It's ten thousand dollars."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114689, u3390 ," Bobby... ssshhhh... you killed Mike.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114690, u3373 ," This isn't Mike.  Is this Mike?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
114691, u3390 ," Here he comes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3373 ,m224,,
114692, u3373 ," Here he comes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u3390 ,m224,,
