,User_id,text,sec_user,movies_name,relationship,attachment
139592, u4089 ," I know.  Just be quick about it, will you? Do it right."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139593, u4081 ," Whistler, I --"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139594, u4081 ," No, we can treat the wounds --"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139595, u4089 ," Listen. You have to -- finish me off. You don't want me coming back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139596, u4081 ," Don't try to talk --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139597, u4081 ," China Town. I need more serum.  What's all this?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139598, u4089 ," Going somewhere?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139599, u4081 ," Don't even start, old man."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139600, u4089 ," What took you so long?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139601, u4089 ," Wait.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139602, u4081 ," Get in. You’re leaving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139603, u4081 ," It's not worth the risk. We can't trust her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139604, u4089 ," Maybe not. I did some checking, she's a hematologist. Knowledge like that might come in handy."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139605, u4081 ," Stupidity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139606, u4081 ," Just do it, old man."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139607, u4089 ," I had to increase the dose. You're building up a resistance to the serum --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139608, u4081 ," She hasn't turned yet.  You can help her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139609, u4089 ," You should've killed her, then."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139610, u4081 ," She's been bitten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4089 ,m272,,
139611, u4089 ," Are we bringing home strays now?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139612, u4081 ," Whistler!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139613, u4081 ," It's because I'm human that I can do this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139614, u4084 ," You're too human, Blade."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139615, u4081 ," You don't have a few minutes, Frost."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139616, u4084 ," You're wrong -- a few minutes more, and my transition will be complete. Even your sword won't be able to affect me then."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139617, u4081 ," Guess you're not quite as invulnerable as you thought.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139618, u4084 ," Take him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139619, u4081 ," Who dies first?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139620, u4081 ," Frost!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139621, u4084 ," No longer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139622, u4084 ," Watch me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139623, u4081 ," You're not going anywhere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139624, u4084 ," You sure now? I bled a newborn for this. You won't find a drink that's sweeter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139625, u4081 ," Pass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139626, u4084 ," The pause that refreshes --  Care for some? Smells good, doesn't it? Pungent, with just an irrepressible hint of iron."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139627, u4084 ," Am I? You think the humans will ever accept a half-breed like you? They can't. They're afraid of you.  The humans fear us because we're superior. They fear us because in their hearts they know their race has become obsolete.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139628, u4081 ," You're wrong.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
139629, u4084 ," Oh, so it's back to pretending we're human again, is it? Spare me the Uncle Tom routine. You can't keep denying what you are. You're one of us, Blade. You always have been."",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4081 ,m272,,
139630, u4081 ," Maybe I don't see it that way.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", u4084 ,m272,,
